user_text,age_group,sex,body_part,red_flags_present,duration_days,pain_score,symptom_count,primary_disease
"i am experiencing burning urination, cloudy urine, frequent urination, lower abdominal pain, blood in urine, fever and back pain for 4 days. my pain score is 3 out of 10.",child,male,pelvis/abdomen,yes,4,3,7,urinary tract infection
"i feel pale skin, fatigue, dizziness and shortness of breath on exertion for 3 days. my pain score is 3 out of 10.",teen,not specified,whole body,yes,3,3,4,anemia
"i have localized pain, pain worse with movement, muscle tightness and recent lifting for 2 days. my pain score is 1 out of 10.",teen,female,back/arm/leg,yes,2,1,4,muscle strain
"i have weakness, hunger, dizziness, sweating, fast heartbeat, cannot swallow and dark urine today. my pain score is 7 out of 10.",adult,male,whole body,yes,0,7,7,hypoglycemia
"i have nausea, sound sensitivity, visual aura, vomiting and dizziness for 4 days. my pain score is 6 out of 10.",child,not specified,head,yes,4,6,5,migraine
"i've got fever, chills, sore throat, headache, loss of appetite and sneezing for 2 days. my pain score is 3 out of 10.",child,not specified,whole body,no,2,3,6,influenza
"i am experiencing nausea, vomiting, dehydration, body aches and fever for 5 days. my pain score is 3 out of 10.",teen,male,abdomen,no,5,3,5,gastroenteritis
"i feel upper abdominal pain, nausea, loss of appetite and bloating for 1 day. my pain score is 1 out of 10.",older adult,not specified,abdomen,yes,1,1,4,gastritis
"i am experiencing nausea, vomiting, stomach cramps, body aches and fever for 7 days. my pain score is 7 out of 10.",older adult,not specified,abdomen,no,7,7,5,gastroenteritis
"my symptoms are sweating, shaking, dizziness, weakness, headache, fast heartbeat, confusion and arm weakness for 6 days. my pain score is 7 out of 10.",teen,not specified,whole body,no,6,7,8,hypoglycemia
"for the last few days i have had nausea, chest tightness, chest pressure, sweating, shortness of breath, fainting, severe shortness of breath and chest pain when breathing for 11 days. my pain score is 7 out of 10.",child,not specified,chest,yes,11,7,8,heart attack
"i've got blocked nose, thick nasal discharge, headache and watery eyes for 3 days. my pain score is 2 out of 10.",adult,male,head,no,3,2,4,sinusitis
"my symptoms are blurred vision, frequent urination, fatigue and dry mouth for 6 days. my pain score is 7 out of 10.",older adult,not specified,whole body,no,6,7,4,hyperglycemia
"i am experiencing nausea, sound sensitivity, light sensitivity, one-sided headache, vomiting, dizziness, visual aura and neck stiffness for 3 days. my pain score is 4 out of 10.",older adult,not specified,head,yes,3,4,8,migraine
"i have red patches, itchy rash and scaly skin for 1 day. my pain score is 2 out of 10.",child,male,skin,no,1,2,3,eczema flare
"i am experiencing body aches, fatigue and dry cough for 2 days. my pain score is 2 out of 10.",adult,female,whole body,yes,2,2,3,influenza
"i am experiencing diarrhea, vomiting, stomach cramps and nausea today. my pain score is 1 out of 10.",child,male,abdomen,no,0,1,4,gastroenteritis
"i am experiencing localized pain, muscle tightness, pain worse with movement, recent lifting and bruising for 2 days. my pain score is 6 out of 10.",older adult,male,back/arm/leg,yes,2,6,5,muscle strain
i have tooth pain and gum swelling today. my pain score is 1 out of 10.,child,female,mouth/face,no,0,1,2,dental abscess
"i've got itchy eyes, sneezing, cough and sinus pressure for 3 days. my pain score is 5 out of 10.",older adult,not specified,head,no,3,5,4,allergic rhinitis
"i am experiencing fever, severe headache, vomiting, seizure and confusion for 13 days. my pain score is 7 out of 10.",teen,female,head/neck,yes,13,7,5,meningitis
"i've got chest tightness, racing heart and cough today. my pain score is 3 out of 10.",adult,male,chest/whole body,yes,0,3,3,anxiety or panic attack
"i am experiencing light sensitivity, neck stiffness, fever, severe headache, drowsiness, vomiting, rash and one-sided headache for 3 days. my pain score is 3 out of 10.",adult,female,head/neck,yes,3,3,8,meningitis
"for the last few days i have had fatigue, dry mouth, headache, fast heartbeat and reduced urination for 3 days. my pain score is 7 out of 10.",teen,male,whole body,no,3,7,5,dehydration
"i am experiencing shaking, weakness, dizziness, confusion, fast heartbeat, headache, unconscious and fatigue for 5 days. my pain score is 7 out of 10.",older adult,not specified,whole body,yes,5,7,8,hypoglycemia
"i am experiencing chest pressure, sweating, chest tightness, shortness of breath, pain spreading to arm, jaw pain and fainting for 3 days. my pain score is 9 out of 10.",teen,female,chest,yes,3,9,7,heart attack
"i am experiencing dizziness, dark urine, reduced urination and fast heartbeat for 2 days. my pain score is 4 out of 10.",adult,male,whole body,no,2,4,4,dehydration
"for the last few days i have had facial pressure, blocked nose, thick nasal discharge, headache and runny nose for 3 days. my pain score is 3 out of 10.",teen,female,head,no,3,3,5,sinusitis
"i've got pale skin, shortness of breath on exertion and dizziness for 1 day. my pain score is 3 out of 10.",child,female,whole body,no,1,3,3,anemia
"today i noticed skin pain, swelling, spreading redness, pus, fever, confusion, rapidly spreading rash and scaly skin for 14 days. my pain score is 9 out of 10.",adult,not specified,skin/leg/arm,yes,14,9,8,cellulitis
"i feel face drooping, arm weakness, speech difficulty, loss of balance, dizziness, sudden severe headache and weakness on one side for 1 day. my pain score is 8 out of 10.",older adult,female,head/face/arm,yes,1,8,7,stroke
"i have very unwell, shivering, vomiting, reduced urination and blue lips for 12 days. my pain score is 10 out of 10.",teen,male,whole body,yes,12,10,5,sepsis
"i have eye discharge, red eye, watery eye, itchy eye and blocked nose for 2 days. my pain score is 1 out of 10.",adult,not specified,eye,no,2,1,5,conjunctivitis
"i feel recent lifting, localized pain, pain worse with movement, bruising, reduced range of motion and swelling for 2 days. my pain score is 4 out of 10.",teen,female,back/arm/leg,no,2,4,6,muscle strain
"for the last few days i have had vomiting, diarrhea, stomach cramps, nausea and weakness for 2 days. my pain score is 3 out of 10.",teen,female,abdomen,yes,2,3,5,food poisoning
"for the last few days i have had warm skin, red skin, skin pain, spreading redness and fast heartbeat for 4 days. my pain score is 7 out of 10.",child,not specified,skin/leg/arm,no,4,7,5,cellulitis
i have fatigue and shortness of breath on exertion for 1 day. my pain score is 1 out of 10.,child,male,whole body,no,1,1,2,anemia
"i've got sour taste, acid reflux, worse lying down, nausea and cough after meals for 2 days. my pain score is 6 out of 10.",older adult,male,chest/abdomen,yes,2,6,5,gerd
my symptoms are sore throat and dry cough today. my pain score is 1 out of 10.,child,female,whole body,no,0,1,2,covid-like viral illness
"i am experiencing heartburn, burning chest discomfort, sour taste, acid reflux and nausea for 4 days. my pain score is 5 out of 10.",teen,female,chest/abdomen,no,4,5,5,gerd
"i have mild fever, productive cough and shortness of breath for 7 days. my pain score is 3 out of 10.",child,male,chest,yes,7,3,3,bronchitis
"my symptoms are warm skin, swelling, fever, spreading redness and pus for 3 days. my pain score is 5 out of 10.",child,not specified,skin/leg/arm,no,3,5,5,cellulitis
"my symptoms are sound sensitivity, light sensitivity, vomiting and visual aura for 6 days. my pain score is 4 out of 10.",adult,not specified,head,yes,6,4,4,migraine
"i have fever, light sensitivity, neck stiffness, vomiting, drowsiness, rash, non-blanching rash, very unwell and nausea for 10 days. my pain score is 8 out of 10.",teen,not specified,head/neck,yes,10,8,9,meningitis
"i am experiencing cough, shortness of breath, fatigue, confusion and low oxygen for 1 day. my pain score is 9 out of 10.",older adult,female,chest,yes,1,9,5,pneumonia
"for the last few days i have had red skin, swelling, warm skin and skin pain for 3 days. my pain score is 3 out of 10.",teen,female,skin/leg/arm,yes,3,3,4,cellulitis
"i've got blocked nose, sneezing and headache for 2 days. my pain score is 1 out of 10.",teen,male,head,no,2,1,3,allergic rhinitis
"i have watery eye, itchy eye, eye discharge and sound sensitivity for 2 days. my pain score is 3 out of 10.",child,not specified,eye,no,2,3,4,conjunctivitis
"i am experiencing cough, chest tightness, wheezing and shortness of breath today. my pain score is 1 out of 10.",child,male,chest,no,0,1,4,asthma flare
"i feel swelling, warm skin, fever and pus for 2 days. my pain score is 4 out of 10.",teen,female,skin/leg/arm,yes,2,4,4,cellulitis
"today i noticed dizziness, fatigue, thirst and diarrhea for 2 days. my pain score is 3 out of 10.",adult,male,whole body,no,2,3,4,dehydration
"i am experiencing watery eye, itchy eye, eye discharge, red eye, mild eyelid swelling, gritty feeling and vision loss for 14 days. my pain score is 10 out of 10.",child,not specified,eye,yes,14,10,7,conjunctivitis
"i've got trembling, racing heart, fear, shortness of breath, tingling fingers and dizziness for 5 days. my pain score is 7 out of 10.",teen,male,chest/whole body,no,5,7,6,anxiety or panic attack
"for the last few days i have had nausea, sweating, chest tightness, chest pressure and pain spreading to arm for 5 days. my pain score is 3 out of 10.",child,not specified,chest,no,5,3,5,heart attack
"for the last few days i have had vomiting, nausea, ate suspicious food and stomach cramps for 2 days. my pain score is 1 out of 10.",older adult,male,abdomen,no,2,1,4,food poisoning
"i have facial pressure, blocked nose and thick nasal discharge today. my pain score is 3 out of 10.",adult,male,head,no,0,3,3,sinusitis
"today i noticed racing heart, chest tightness, trembling and wheezing today. my pain score is 3 out of 10.",teen,not specified,chest/whole body,no,0,3,4,anxiety or panic attack
"i've got lower abdominal pain, frequent urination, cloudy urine and burning urination for 3 days. my pain score is 1 out of 10.",child,male,pelvis/abdomen,no,3,1,4,urinary tract infection
for the last few days i have had chest tightness and wheezing for 3 days. my pain score is 1 out of 10.,older adult,not specified,chest,no,3,1,2,asthma flare
"i have bruising, swelling and cannot bear weight for 5 days. my pain score is 6 out of 10.",teen,female,arm/leg,yes,5,6,3,fracture or sprain
"i've got facial swelling, bad taste, tooth pain, gum swelling, swollen glands, pain chewing, fever and difficulty breathing for 4 days. my pain score is 8 out of 10.",child,male,mouth/face,yes,4,8,8,dental abscess
"i am experiencing right lower abdominal pain, nausea, vomiting, abdominal tenderness and ate suspicious food for 4 days. my pain score is 5 out of 10.",older adult,female,abdomen,no,4,5,5,appendicitis
"i have chest pain when breathing, fever, shortness of breath, cough and chills for 7 days. my pain score is 6 out of 10.",older adult,female,chest,no,7,6,5,pneumonia
"my symptoms are red skin, swelling, warm skin, skin pain and fever for 2 days. my pain score is 5 out of 10.",child,female,skin/leg/arm,yes,2,5,5,cellulitis
"i am experiencing productive cough, mild fever, fatigue and mild cough for 2 days. my pain score is 3 out of 10.",teen,female,chest,no,2,3,4,bronchitis
"i have shaking, hunger, confusion, fast heartbeat and headache for 4 days. my pain score is 5 out of 10.",teen,not specified,whole body,no,4,5,5,hypoglycemia
"i have heartburn, burning chest discomfort, worse lying down, cough after meals, nausea, black stool and crushing chest pain for 14 days. my pain score is 10 out of 10.",child,not specified,chest/abdomen,yes,14,10,7,gerd
"i feel upper abdominal pain, loss of appetite, nausea, bloating and indigestion for 5 days. my pain score is 4 out of 10.",teen,female,abdomen,no,5,4,5,gastritis
"i've got injury, joint pain, cannot bear weight and severe tenderness for 6 days. my pain score is 3 out of 10.",older adult,female,arm/leg,yes,6,3,4,fracture or sprain
"i have light sensitivity, one-sided headache, nausea, vomiting, dizziness and visual aura for 2 days. my pain score is 4 out of 10.",older adult,male,head,yes,2,4,6,migraine
